source,date,attack_type,sector,incident_count,severity,data_type
BSSN Report (Structured),2023-01,Malware,Manufaktur,1210,Low,monthly_statistics
BSSN Report (Structured),2023-01,Ransomware,Kesehatan,1017,Low,monthly_statistics
BSSN Report (Structured),2023-01,Phishing,Pendidikan,1732,High,monthly_statistics
BSSN Report (Structured),2023-01,Trojan,Pendidikan,529,Critical,monthly_statistics
BSSN Report (Structured),2023-01,Spyware,Energi,1980,Low,monthly_statistics
BSSN Report (Structured),2023-01,APT (Advanced Persistent Threat),Manufaktur,1265,Medium,monthly_statistics
BSSN Report (Structured),2023-01,DDoS,Pendidikan,1181,Critical,monthly_statistics
BSSN Report (Structured),2023-01,SQL Injection,Kesehatan,1450,Critical,monthly_statistics
BSSN Report (Structured),2023-01,Man-in-the-Middle,Transportasi,922,High,monthly_statistics
BSSN Report (Structured),2023-01,Social Engineering,Transportasi,2358,Medium,monthly_statistics
BSSN Report (Structured),2023-01,Malware,Telekomunikasi,1056,Medium,monthly_statistics
BSSN Report (Structured),2023-01,Ransomware,Pendidikan,1698,Low,monthly_statistics
BSSN Report (Structured),2023-01,Phishing,Pertahanan,800,Medium,monthly_statistics
BSSN Report (Structured),2023-01,Trojan,Media,1552,Medium,monthly_statistics
BSSN Report (Structured),2023-01,Spyware,Telekomunikasi,1339,Critical,monthly_statistics
BSSN Report (Structured),2023-01,APT (Advanced Persistent Threat),Telekomunikasi,2493,Medium,monthly_statistics
BSSN Report (Structured),2023-01,DDoS,Transportasi,1737,Critical,monthly_statistics
BSSN Report (Structured),2023-01,SQL Injection,Energi,689,Low,monthly_statistics
BSSN Report (Structured),2023-01,Man-in-the-Middle,Retail & E-commerce,3018,Critical,monthly_statistics
BSSN Report (Structured),2023-01,Social Engineering,Pemerintahan,907,Low,monthly_statistics
BSSN Report (Structured),2023-03,Malware,Energi,3254,Low,monthly_statistics
BSSN Report (Structured),2023-03,Ransomware,Media,2659,Medium,monthly_statistics
BSSN Report (Structured),2023-03,Phishing,Retail & E-commerce,952,Low,monthly_statistics
BSSN Report (Structured),2023-03,Trojan,Manufaktur,1921,Medium,monthly_statistics
BSSN Report (Structured),2023-03,Spyware,Energi,895,High,monthly_statistics
BSSN Report (Structured),2023-03,APT (Advanced Persistent Threat),Transportasi,1821,High,monthly_statistics
BSSN Report (Structured),2023-03,DDoS,Pertahanan,1621,Low,monthly_statistics
BSSN Report (Structured),2023-03,SQL Injection,Pendidikan,1130,Medium,monthly_statistics
BSSN Report (Structured),2023-03,Man-in-the-Middle,Manufaktur,1151,Medium,monthly_statistics
BSSN Report (Structured),2023-03,Social Engineering,Pemerintahan,2737,High,monthly_statistics
BSSN Report (Structured),2023-04,Malware,Perbankan & Keuangan,749,Medium,monthly_statistics
BSSN Report (Structured),2023-04,Ransomware,Transportasi,2996,Critical,monthly_statistics
BSSN Report (Structured),2023-04,Phishing,Kesehatan,3263,Medium,monthly_statistics
BSSN Report (Structured),2023-04,Trojan,Energi,1044,Low,monthly_statistics
BSSN Report (Structured),2023-04,Spyware,Telekomunikasi,1374,Low,monthly_statistics
BSSN Report (Structured),2023-04,APT (Advanced Persistent Threat),Pemerintahan,1577,Critical,monthly_statistics
BSSN Report (Structured),2023-04,DDoS,Pertahanan,3223,Critical,monthly_statistics
BSSN Report (Structured),2023-04,SQL Injection,Telekomunikasi,1330,Medium,monthly_statistics
BSSN Report (Structured),2023-04,Man-in-the-Middle,Pemerintahan,2894,Medium,monthly_statistics
BSSN Report (Structured),2023-04,Social Engineering,Pendidikan,2405,Critical,monthly_statistics
BSSN Report (Structured),2023-05,Malware,Transportasi,2281,High,monthly_statistics
BSSN Report (Structured),2023-05,Ransomware,Pendidikan,3458,High,monthly_statistics
BSSN Report (Structured),2023-05,Phishing,Pendidikan,2304,Low,monthly_statistics
BSSN Report (Structured),2023-05,Trojan,Pemerintahan,3327,Critical,monthly_statistics
BSSN Report (Structured),2023-05,Spyware,Perbankan & Keuangan,1444,Medium,monthly_statistics
BSSN Report (Structured),2023-05,APT (Advanced Persistent Threat),Media,2509,High,monthly_statistics
BSSN Report (Structured),2023-05,DDoS,Telekomunikasi,2809,Critical,monthly_statistics
BSSN Report (Structured),2023-05,SQL Injection,Transportasi,1514,Critical,monthly_statistics
BSSN Report (Structured),2023-05,Man-in-the-Middle,Transportasi,1303,Critical,monthly_statistics
BSSN Report (Structured),2023-05,Social Engineering,Energi,2106,Low,monthly_statistics
BSSN Report (Structured),2023-05,Malware,Media,1855,Medium,monthly_statistics
BSSN Report (Structured),2023-05,Ransomware,Pendidikan,3170,Medium,monthly_statistics
BSSN Report (Structured),2023-05,Phishing,Perbankan & Keuangan,1547,Critical,monthly_statistics
BSSN Report (Structured),2023-05,Trojan,Pemerintahan,1193,Medium,monthly_statistics
BSSN Report (Structured),2023-05,Spyware,Pemerintahan,2188,High,monthly_statistics
BSSN Report (Structured),2023-05,APT (Advanced Persistent Threat),Manufaktur,1656,Low,monthly_statistics
BSSN Report (Structured),2023-05,DDoS,Energi,2122,Low,monthly_statistics
BSSN Report (Structured),2023-05,SQL Injection,Pemerintahan,712,Medium,monthly_statistics
BSSN Report (Structured),2023-05,Man-in-the-Middle,Media,3671,High,monthly_statistics
BSSN Report (Structured),2023-05,Social Engineering,Manufaktur,1546,High,monthly_statistics
BSSN Report (Structured),2023-06,Malware,Telekomunikasi,1244,Critical,monthly_statistics
BSSN Report (Structured),2023-06,Ransomware,Telekomunikasi,726,High,monthly_statistics
BSSN Report (Structured),2023-06,Phishing,Telekomunikasi,3403,High,monthly_statistics
BSSN Report (Structured),2023-06,Trojan,Transportasi,1953,High,monthly_statistics
BSSN Report (Structured),2023-06,Spyware,Energi,2475,Low,monthly_statistics
BSSN Report (Structured),2023-06,APT (Advanced Persistent Threat),Manufaktur,3373,Medium,monthly_statistics
BSSN Report (Structured),2023-06,DDoS,Pertahanan,2190,Critical,monthly_statistics
BSSN Report (Structured),2023-06,SQL Injection,Perbankan & Keuangan,2746,Critical,monthly_statistics
BSSN Report (Structured),2023-06,Man-in-the-Middle,Media,3213,Critical,monthly_statistics
BSSN Report (Structured),2023-06,Social Engineering,Telekomunikasi,2645,Critical,monthly_statistics
BSSN Report (Structured),2023-07,Malware,Pemerintahan,680,Critical,monthly_statistics
BSSN Report (Structured),2023-07,Ransomware,Retail & E-commerce,1327,Low,monthly_statistics
BSSN Report (Structured),2023-07,Phishing,Perbankan & Keuangan,1728,Critical,monthly_statistics
