title,url,source,date,content,scraped_at,category
Two Chrome Extensions Caught Secretly Stealing Credentials from Over 170 Sites,https://thehackernews.com/2025/12/two-chrome-extensions-caught-secretly.html,The Hacker News,2025-12-23 20:12:00+05:30,"Cybersecurity researchers have discovered two malicious Google Chrome extensions with the same name and published by the same developer that come with capabilities to intercept traffic and capture user credentials.
The extensions are advertised as a ""multi-location network speed test plug-in"" for developers and foreign trade personnel. Both the browser add-ons are available for download as of",2025-12-24 13:44:33.682432,Cyber Security
INTERPOL Arrests 574 in Africa; Ukrainian Ransomware Affiliate Pleads Guilty,https://thehackernews.com/2025/12/interpol-arrests-574-in-africa.html,The Hacker News,2025-12-23 17:05:00+05:30,"A law enforcement operation coordinated by INTERPOL has led to the recovery of $3 million and the arrest of 574 suspects by authorities from 19 countries, amidst a continued crackdown on cybercrime networks in Africa.
The coordinated effort, named Operation Sentinel, took place between October 27 and November 27, 2025, and mainly focused on business email compromise (BEC), digital extortion, and",2025-12-24 13:44:33.684876,Cyber Security
Passwd: A walkthrough of the Google Workspace Password Manager,https://thehackernews.com/2025/12/passwd-walkthrough-of-google-workspace.html,The Hacker News,2025-12-23 17:00:00+05:30,"Passwd is designed specifically for organizations operating within Google Workspace. Rather than competing as a general consumer password manager, its purpose is narrow, and business-focused: secure credential storage, controlled sharing, and seamless Workspace integration. The platform emphasizes practicality over feature overload, aiming to provide a reliable system for teams that already rely",2025-12-24 13:44:33.686635,Cyber Security
U.S. DoJ Seizes Fraud Domain Behind $14.6 Million Bank Account Takeover Scheme,https://thehackernews.com/2025/12/us-doj-seizes-fraud-domain-behind-146.html,The Hacker News,2025-12-23 13:45:00+05:30,"The U.S. Justice Department (DoJ) on Monday announced the seizure of a web domain and database that it said was used to further a criminal scheme designed to target and defraud Americans by means of bank account takeover fraud.
The domain in question, web3adspanels[.]org, was used as a backend web panel to host and manipulate illegally harvested bank login credentials. Users to the website are",2025-12-24 13:44:33.688163,Cyber Security
Critical n8n Flaw (CVSS 9.9) Enables Arbitrary Code Execution Across Thousands of Instances,https://thehackernews.com/2025/12/critical-n8n-flaw-cvss-99-enables.html,The Hacker News,2025-12-23 13:04:00+05:30,"A critical security vulnerability has been disclosed in the n8n workflow automation platform that, if successfully exploited, could result in arbitrary code execution under certain circumstances.
The vulnerability, tracked as CVE-2025-68613, carries a CVSS score of 9.9 out of a maximum of 10.0. The package has about 57,000 weekly downloads, according to statistics on npm.
""Under certain",2025-12-24 13:44:33.689436,Cyber Security
FCC Bans Foreign-Made Drones and Key Parts Over U.S. National Security Risks,https://thehackernews.com/2025/12/fcc-bans-foreign-made-drones-and-key.html,The Hacker News,2025-12-23 12:28:00+05:30,"The U.S. Federal Communications Commission (FCC) on Monday announced a ban on all drones and critical components made in a foreign country, citing national security concerns.
To that end, the agency has added to its Covered List Uncrewed aircraft systems (UAS) and UAS critical components produced in a foreign country, and all communications and video surveillance equipment and services pursuant",2025-12-24 13:44:33.690627,Cyber Security
"Fake WhatsApp API Package on npm Steals Messages, Contacts, and Login Tokens",https://thehackernews.com/2025/12/fake-whatsapp-api-package-on-npm-steals.html,The Hacker News,2025-12-22 21:58:00+05:30,"Cybersecurity researchers have disclosed details of a new malicious package on the npm repository that works as a fully functional WhatsApp API, but also contains the ability to intercept every message and link the attacker's device to a victim's WhatsApp account.
The package, named ""lotusbail,"" has been downloaded over 56,000 times since it was first uploaded to the registry by a user named """,2025-12-24 13:44:33.692023,Cyber Security
"⚡ Weekly Recap: Firewall Exploits, AI Data Theft, Android Hacks, APT Attacks, Insider Leaks & More",https://thehackernews.com/2025/12/weekly-recap-firewall-exploits-ai-data.html,The Hacker News,2025-12-22 17:30:00+05:30,"Cyber threats last week showed how attackers no longer need big hacks to cause big damage. They’re going after the everyday tools we trust most — firewalls, browser add-ons, and even smart TVs — turning small cracks into serious breaches.
The real danger now isn’t just one major attack, but hundreds of quiet ones using the software and devices already inside our networks. Each trusted system can",2025-12-24 13:44:33.693391,Cyber Security
How to Browse the Web More Sustainably With a Green Browser,https://thehackernews.com/2025/12/how-to-browse-sustainably-with-a-green-browser.html,The Hacker News,2025-12-22 17:25:00+05:30,"As the internet becomes an essential part of daily life, its environmental footprint continues to grow. 
Data centers, constant connectivity, and resource-heavy browsing habits all contribute to energy consumption and digital waste. While individual users may not see this impact directly, the collective effect of everyday browsing is significant.
Choosing a browser designed with",2025-12-24 13:44:33.694576,Cyber Security
"Android Malware Operations Merge Droppers, SMS Theft, and RAT Capabilities at Scale",https://thehackernews.com/2025/12/android-malware-operations-merge.html,The Hacker News,2025-12-22 11:41:00+05:30,"Threat actors have been observed leveraging malicious dropper apps masquerading as legitimate applications to deliver an Android SMS stealer dubbed Wonderland in mobile attacks targeting users in Uzbekistan.
""Previously, users received 'pure' Trojan APKs that acted as malware immediately upon installation,"" Group-IB said in an analysis published last week. ""Now, adversaries increasingly deploy",2025-12-24 13:44:33.696316,Cyber Security
