article_id,title,content,source,published_date,attack_type_mentioned,sector_mentioned,province_mentioned,sentiment,word_count,scraped_at
NEWS-000001,BSSN Ungkap Lonjakan Kasus Phishing Sepanjang 2023,"Laporan terbaru menunjukkan adanya kasus Phishing yang menargetkan 
            sektor Kesehatan di wilayah Surabaya. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 03 July 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2023-07-03,Phishing,Kesehatan,Surabaya,negative,44,2025-12-24 12:38:01.494019
NEWS-000002,Serangan Phishing Menargetkan E-Commerce di Surabaya,"Laporan terbaru menunjukkan adanya kasus Phishing yang menargetkan 
            sektor E-Commerce di wilayah Surabaya. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 26 December 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",republika.co.id,2022-12-26,Phishing,E-Commerce,Surabaya,negative,44,2025-12-24 12:38:01.494095
NEWS-000003,Perbankan Kehilangan Data Jutaan Pengguna Akibat Malware,"Laporan terbaru menunjukkan adanya kasus Malware yang menargetkan 
            sektor Perbankan di wilayah Jawa Timur. Menurut sumber dari 
            BSSN, insiden ini 
            terjadi pada 23 May 2023. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2023-05-23,Malware,Perbankan,Jawa Timur,positive,45,2025-12-24 12:38:01.494138
NEWS-000004,Polri Tangkap Pelaku Ransomware yang Rugikan Korban Rp 50 Juta,"Laporan terbaru menunjukkan adanya kasus Ransomware yang menargetkan 
            sektor E-Commerce di wilayah Yogyakarta. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 22 November 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2021-11-22,Ransomware,E-Commerce,Yogyakarta,neutral,44,2025-12-24 12:38:01.494171
NEWS-000005,Tips Lindungi Data dari Skimming Menurut Pakar Keamanan,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor E-Commerce di wilayah Yogyakarta. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 21 October 2024. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tempo.co,2024-10-21,Skimming,E-Commerce,Yogyakarta,negative,44,2025-12-24 12:38:01.494206
NEWS-000006,BSSN Ungkap Lonjakan Kasus Phishing Sepanjang 2021,"Laporan terbaru menunjukkan adanya kasus Phishing yang menargetkan 
            sektor Fintech di wilayah Bandung. Menurut sumber dari 
            Kominfo, insiden ini 
            terjadi pada 08 July 2021. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2021-07-08,Phishing,Fintech,Bandung,negative,44,2025-12-24 12:38:01.494237
NEWS-000007,Polri Tangkap Pelaku DDoS yang Rugikan Korban Rp 108 Juta,"Laporan terbaru menunjukkan adanya kasus DDoS yang menargetkan 
            sektor Pendidikan di wilayah Semarang. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 11 February 2024. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",detik.com,2024-02-11,DDoS,Pendidikan,Semarang,neutral,44,2025-12-24 12:38:01.494267
NEWS-000008,Kerugian Akibat Skimming Capai Rp 237 Miliar,"Laporan terbaru menunjukkan adanya kasus Skimming yang menargetkan 
            sektor Fintech di wilayah Jawa Timur. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 02 April 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tribunnews.com,2022-04-02,Skimming,Fintech,Jawa Timur,neutral,45,2025-12-24 12:38:01.494294
NEWS-000009,Serangan Kebocoran Data Menargetkan Perbankan di Semarang,"Laporan terbaru menunjukkan adanya kasus Kebocoran Data yang menargetkan 
            sektor Perbankan di wilayah Semarang. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 01 September 2022. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",tempo.co,2022-09-01,Kebocoran Data,Perbankan,Semarang,negative,45,2025-12-24 12:38:01.494322
NEWS-000010,Tips Lindungi Data dari Hacking Menurut Pakar Keamanan,"Laporan terbaru menunjukkan adanya kasus Hacking yang menargetkan 
            sektor Startup di wilayah Jawa Timur. Menurut sumber dari 
            Kepolisian, insiden ini 
            terjadi pada 10 February 2024. Para ahli keamanan siber 
            menyarankan masyarakat untuk meningkatkan kewaspadaan terhadap ancaman 
            serupa. Kerugian diperkirakan mencapai ratusan juta hingga miliaran rupiah.",liputan6.com,2024-02-10,Hacking,Startup,Jawa Timur,neutral,45,2025-12-24 12:38:01.494351
