incident_id,date,province,attack_type,sector,severity,incident_count,source_type,source,year,month,quarter
INC-000001,2023-01-01,Jawa Timur,Phishing,Telekomunikasi,Medium,898,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000002,2023-01-01,DKI Jakarta,Ransomware,Transportasi,Medium,522,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000003,2023-01-01,DKI Jakarta,Malware,Pemerintahan,Medium,2707,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000004,2023-01-01,DKI Jakarta,DDoS,Teknologi Informasi,Low,528,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000005,2023-01-01,Jawa Tengah,Data Breach,Teknologi Informasi,High,353,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000006,2023-01-01,Kalimantan Timur,Social Engineering,Teknologi Informasi,High,1029,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000007,2023-01-01,Jawa Barat,Scam,Teknologi Informasi,Medium,3127,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000008,2023-01-01,Other,SQL Injection,Manufaktur,Medium,233,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000009,2023-01-01,Banten,Brute Force,Pemerintahan,Medium,358,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000010,2023-01-01,Jawa Tengah,APT,Pemerintahan,Low,101,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000011,2023-01-01,Sumatera Utara,Cryptojacking,Perbankan & Keuangan,High,328,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000012,2023-01-01,Bali,Zero-Day Exploit,Pemerintahan,Critical,46,Statistics,BSSN/Kominfo Statistics,2023,1,1
INC-000013,2023-01-16,Unknown,Malware,Unknown,High,1,News,Tempo.co,2023,1,1
INC-000014,2023-01-17,Unknown,Malware,Unknown,High,1,News,Detik.com,2023,1,1
INC-000015,2023-01-24,Unknown,Data Breach,Unknown,High,1,News,CNN Indonesia,2023,1,1
INC-000016,2023-01-27,Unknown,Scam,Unknown,High,1,News,Kompas.com,2023,1,1
INC-000017,2023-01-28,Unknown,Data Breach,Unknown,High,1,News,Kompas.com,2023,1,1
