date,year,month,attack_type,sector,province,incident_count,financial_loss_million_idr,severity,detection_rate_percent,avg_response_time_hours,source,data_type
2023-01-01,2023,1,Phishing,Telekomunikasi,Jawa Timur,898.0,8082,Medium,73,27.29,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Ransomware,Transportasi,Dki Jakarta,522.0,6786,Medium,78,39.27,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Malware,Pemerintahan,Dki Jakarta,2707.0,75796,Medium,78,49.86,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Ddos,Teknologi Informasi,Dki Jakarta,528.0,20592,Low,66,113.05,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Data Breach,Teknologi Informasi,Jawa Tengah,353.0,6001,High,61,13.99,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Social Engineering,Teknologi Informasi,Kalimantan Timur,1029.0,15435,High,47,18.84,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Scam/Fraud,Teknologi Informasi,Jawa Barat,3127.0,85620,Medium,50,70.36,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Sql Injection,Manufaktur,Lainnya,233.0,8155,Medium,74,68.49,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Brute Force,Pemerintahan,Banten,358.0,9308,Medium,81,39.15,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Apt,Pemerintahan,Jawa Tengah,101.0,1313,Low,84,154.88,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Cryptojacking,Perbankan & Keuangan,Sumatera Utara,328.0,3608,High,71,19.75,Bssn/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Zero-Day Exploit,Pemerintahan,Bali,46.0,1380,Critical,82,5.23,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Phishing,Media,Jawa Timur,1487.0,25279,Low,84,82.12,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Ransomware,Telekomunikasi,Sumatera Utara,540.0,15660,Low,52,164.94,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Malware,Teknologi Informasi,Sulawesi Selatan,1259.0,32734,High,60,16.98,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Ddos,Perbankan & Keuangan,Jawa Timur,244.0,2928,Critical,63,2.53,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Data Breach,Pemerintahan,Jawa Timur,472.0,8496,Low,71,131.01,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Social Engineering,Energi,Jawa Timur,987.0,12831,Critical,66,4.29,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Scam/Fraud,Telekomunikasi,Jawa Barat,1685.0,20220,Medium,78,49.37,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Sql Injection,Pemerintahan,Dki Jakarta,233.0,11184,Low,59,73.19,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Brute Force,Teknologi Informasi,Bali,694.0,14574,High,69,20.81,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Apt,Manufaktur,Jawa Timur,193.0,4439,Medium,47,55.96,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Cryptojacking,Kesehatan,Lainnya,417.0,17931,Medium,80,57.2,Bssn/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Zero-Day Exploit,Transportasi,Lainnya,91.0,1365,Low,65,114.56,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Phishing,Perbankan & Keuangan,Jawa Timur,1965.0,29475,Critical,85,2.0,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Ransomware,Kesehatan,Sumatera Utara,792.0,38808,Low,70,108.08,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Malware,Teknologi Informasi,Banten,1716.0,36036,Low,59,85.18,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Ddos,Manufaktur,Sulawesi Selatan,595.0,10710,High,69,11.08,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Data Breach,Pendidikan,Kalimantan Timur,275.0,4675,Critical,56,2.98,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Social Engineering,Pemerintahan,Jawa Timur,1585.0,12680,Medium,73,27.0,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Scam/Fraud,Manufaktur,Dki Jakarta,2945.0,85620,Medium,52,28.62,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Sql Injection,Pendidikan,Dki Jakarta,319.0,11165,Medium,40,65.66,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Brute Force,Pendidikan,Lainnya,931.0,13965,Medium,76,40.91,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Apt,Perbankan & Keuangan,Bali,138.0,2622,Medium,45,50.12,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Cryptojacking,Retail & E-Commerce,Dki Jakarta,144.0,2448,Low,80,161.93,Bssn/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Zero-Day Exploit,Pemerintahan,Kalimantan Timur,27.0,1080,Critical,40,4.71,Bssn/Kominfo Statistics,internal_structured
