date,year,month,attack_type,sector,province,incident_count,financial_loss_million_idr,severity,detection_rate_percent,avg_response_time_hours,source,data_type
2023-01-01,2023,1,Phishing,Telekomunikasi,Jawa Timur,898,8082,Medium,73,27.29,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Ransomware,Transportasi,DKI Jakarta,522,6786,Medium,78,39.27,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Malware,Pemerintahan,DKI Jakarta,2707,75796,Medium,78,49.86,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,DDoS,Teknologi Informasi,DKI Jakarta,528,20592,Low,66,113.05,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Data Breach,Teknologi Informasi,Jawa Tengah,353,6001,High,61,13.99,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Social Engineering,Teknologi Informasi,Kalimantan Timur,1029,15435,High,47,18.84,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Scam/Fraud,Teknologi Informasi,Jawa Barat,3127,118826,Medium,50,70.36,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,SQL Injection,Manufaktur,Lainnya,233,8155,Medium,74,68.49,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Brute Force,Pemerintahan,Banten,358,9308,Medium,81,39.15,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,APT,Pemerintahan,Jawa Tengah,101,1313,Low,84,154.88,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Cryptojacking,Perbankan & Keuangan,Sumatera Utara,328,3608,High,71,19.75,BSSN/Kominfo Statistics,internal_structured
2023-01-01,2023,1,Zero-Day Exploit,Pemerintahan,Bali,46,1380,Critical,82,5.23,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Phishing,Media,Jawa Timur,1487,25279,Low,84,82.12,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Ransomware,Telekomunikasi,Sumatera Utara,540,15660,Low,52,164.94,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Malware,Teknologi Informasi,Sulawesi Selatan,1259,32734,High,60,16.98,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,DDoS,Perbankan & Keuangan,Jawa Timur,244,2928,Critical,63,2.53,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Data Breach,Pemerintahan,Jawa Timur,472,8496,Low,71,131.01,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Social Engineering,Energi,Jawa Timur,987,12831,Critical,66,4.29,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Scam/Fraud,Telekomunikasi,Jawa Barat,1685,20220,Medium,78,49.37,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,SQL Injection,Pemerintahan,DKI Jakarta,233,11184,Low,59,73.19,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Brute Force,Teknologi Informasi,Bali,694,14574,High,69,20.81,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,APT,Manufaktur,Jawa Timur,193,4439,Medium,47,55.96,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Cryptojacking,Kesehatan,Lainnya,417,17931,Medium,80,57.2,BSSN/Kominfo Statistics,internal_structured
2023-01-31,2023,1,Zero-Day Exploit,Transportasi,Lainnya,91,1365,Low,65,114.56,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Phishing,Perbankan & Keuangan,Jawa Timur,1965,29475,Critical,85,2.0,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Ransomware,Kesehatan,Sumatera Utara,792,38808,Low,70,108.08,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Malware,Teknologi Informasi,Banten,1716,36036,Low,59,85.18,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,DDoS,Manufaktur,Sulawesi Selatan,595,10710,High,69,11.08,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Data Breach,Pendidikan,Kalimantan Timur,275,4675,Critical,56,2.98,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Social Engineering,Pemerintahan,Jawa Timur,1585,12680,Medium,73,27.0,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Scam/Fraud,Manufaktur,DKI Jakarta,2945,114855,Medium,52,28.62,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,SQL Injection,Pendidikan,DKI Jakarta,319,11165,Medium,40,65.66,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Brute Force,Pendidikan,Lainnya,931,13965,Medium,76,40.91,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,APT,Perbankan & Keuangan,Bali,138,2622,Medium,45,50.12,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Cryptojacking,Retail & E-commerce,DKI Jakarta,144,2448,Low,80,161.93,BSSN/Kominfo Statistics,internal_structured
2023-03-02,2023,3,Zero-Day Exploit,Pemerintahan,Kalimantan Timur,27,1080,Critical,40,4.71,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Phishing,Energi,DKI Jakarta,2015,48360,Critical,42,5.26,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Ransomware,Media,Jawa Barat,925,41625,Low,50,80.42,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Malware,Teknologi Informasi,DKI Jakarta,1155,48510,Medium,40,71.9,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,DDoS,Kesehatan,DKI Jakarta,186,7068,Medium,57,52.25,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Data Breach,Pendidikan,DKI Jakarta,494,9386,High,53,13.22,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Social Engineering,Pendidikan,Sulawesi Selatan,1440,41760,Medium,55,58.15,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Scam/Fraud,Pemerintahan,DKI Jakarta,2646,108486,Low,54,167.18,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,SQL Injection,Transportasi,Jawa Tengah,336,8064,Medium,81,32.18,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Brute Force,Transportasi,Jawa Tengah,866,5196,Medium,74,67.5,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,APT,Energi,DKI Jakarta,98,4410,Critical,60,5.69,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Cryptojacking,Manufaktur,Jawa Barat,305,9455,Medium,75,70.76,BSSN/Kominfo Statistics,internal_structured
2023-04-01,2023,4,Zero-Day Exploit,Teknologi Informasi,DKI Jakarta,94,1974,Low,79,95.22,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Phishing,Pendidikan,DKI Jakarta,1935,92880,High,49,7.36,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Ransomware,Telekomunikasi,Banten,1034,5170,Medium,70,24.26,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Malware,Energi,DKI Jakarta,1886,37720,Low,55,76.58,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,DDoS,Pendidikan,DKI Jakarta,243,8262,Medium,62,59.21,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Data Breach,Pemerintahan,Lainnya,579,23739,Low,85,88.74,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Social Engineering,Energi,Lainnya,1564,73508,Medium,83,41.63,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Scam/Fraud,Perbankan & Keuangan,DKI Jakarta,2573,120931,Critical,68,1.71,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,SQL Injection,Teknologi Informasi,Bali,229,8244,Medium,60,70.57,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Brute Force,Media,DKI Jakarta,467,17279,Medium,73,29.53,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,APT,Pemerintahan,Jawa Tengah,56,1904,Critical,66,3.92,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Cryptojacking,Kesehatan,Bali,425,19975,Medium,73,66.68,BSSN/Kominfo Statistics,internal_structured
2023-05-01,2023,5,Zero-Day Exploit,Energi,Sumatera Utara,74,3182,Low,79,80.05,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Phishing,Kesehatan,DKI Jakarta,2436,31668,Low,51,117.29,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Ransomware,Energi,Jawa Tengah,1148,51660,Medium,41,40.25,BSSN/Kominfo Statistics,internal_structured
2023-05-31,2023,5,Malware,Kesehatan,DKI Jakarta,1742,50518,Medium,57,53.08,BSSN/Kominfo Statistics,internal_structured
