title,url,source,date,content,scraped_at,data_type
Yang sedang ramai dicari,https://inet.detik.com/,Detik,2025-12-22,detikInet - Berita Teknologi Informasi Gadget Terbaru Hari ini detikcom Terpopuler Live TV Kirim Tulisan Kategori Berita detikNews detikFinance detikInet detikHot detikSport Sepakbola detikOto detikTravel detikFood detikHealth Wolipop DetikX 20Detik detikFoto detikEdu detikHikmah detikProperti detikPop Daerah detikJateng detikJatim detikJabar detikSulsel detikSumut detikBali detikSumbagsel detikJogja detikKalimantan Layanan For Your Business Pasang Mata adsmart detikEvent Trans Snow World Trans Studio Flying Over Indonesia berbuatbaik.id ziswafctarsa.id Signature Awards Bingkai.id Trans Hotel Group Community Connect NEW Rekomendit NEW Detik Network CNN Indonesia CNBC Indonesia Hai Bunda InsertLive Beautynesia Female Daily CXO Media Cancel Yang sedang ramai dicari Loading... Promoted Terakhir yang dicari Loading... Home Cyberlife Gadget Games & Esport Business & Policy Science Telecommunication Tips & Trik Foto Video Indeks Home Cyberlife Gadget Games & Esport Business & Policy Science ,2025-12-22 08:10:04,
Perjalanan Kedua Pakaian Bekas di MRT,https://news.detik.com/x/,Detik,21 Des 2025,"detikX - Informasi Mendalam dan Interaktif Search Masukkan kata pencarian minimal 3 karakter Search Detikcom Home Investigasi Spotlight Intermeso Crimestory Indeks Search intermeso Minggu, 21 Des 2025 Perjalanan Kedua Pakaian Bekas di MRT Dropbox pakaian bekas di stasiun MRT Jakarta mengajak penumpang menyumbangkan baju lama agar tidak dibuang, melainkan diolah kembali Selengkapnya... Indeks Copyright @ 2025 detikcom, All right reserved · Redaksi · Pedoman Media Siber · Karir · Kotak Pos · Info Iklan · Privacy Policy · Disclaimer",2025-12-22 08:10:47,
Yang sedang ramai dicari,https://inet.detik.com/,Detik,2025-12-22,detikInet - Berita Teknologi Informasi Gadget Terbaru Hari ini detikcom Terpopuler Live TV Kirim Tulisan Kategori Berita detikNews detikFinance detikInet detikHot detikSport Sepakbola detikOto detikTravel detikFood detikHealth Wolipop DetikX 20Detik detikFoto detikEdu detikHikmah detikProperti detikPop Daerah detikJateng detikJatim detikJabar detikSulsel detikSumut detikBali detikSumbagsel detikJogja detikKalimantan Layanan For Your Business Pasang Mata adsmart detikEvent Trans Snow World Trans Studio Flying Over Indonesia berbuatbaik.id ziswafctarsa.id Signature Awards Bingkai.id Trans Hotel Group Community Connect NEW Rekomendit NEW Detik Network CNN Indonesia CNBC Indonesia Hai Bunda InsertLive Beautynesia Female Daily CXO Media Cancel Yang sedang ramai dicari Loading... Promoted Terakhir yang dicari Loading... Home Cyberlife Gadget Games & Esport Business & Policy Science Telecommunication Tips & Trik Foto Video Indeks Home Cyberlife Gadget Games & Esport Business & Policy Science ,2025-12-22 08:12:14,
Perjalanan Kedua Pakaian Bekas di MRT,https://news.detik.com/x/,Detik,21 Des 2025,"detikX - Informasi Mendalam dan Interaktif Search Masukkan kata pencarian minimal 3 karakter Search Detikcom Home Investigasi Spotlight Intermeso Crimestory Indeks Search intermeso Minggu, 21 Des 2025 Perjalanan Kedua Pakaian Bekas di MRT Dropbox pakaian bekas di stasiun MRT Jakarta mengajak penumpang menyumbangkan baju lama agar tidak dibuang, melainkan diolah kembali Selengkapnya... Indeks Copyright @ 2025 detikcom, All right reserved · Redaksi · Pedoman Media Siber · Karir · Kotak Pos · Info Iklan · Privacy Policy · Disclaimer",2025-12-22 08:12:59,
Ancaman Kejahatan Siber di Balik Iklan Judol dan Upaya Kemkomdigi Tingkatkan Literasi Digital,https://www.tempo.co/info-tempo/ancaman-kejahatan-siber-di-balik-iklan-judol-dan-upaya-kemkomdigi-tingkatkan-literasi-digital-2099755,Tempo,17 Desember 2025,"PerbesarIlustrasi iklan judi online yang marak beredar di ruang digital. TEMPO/Rega WijayaINFO NASIONAL - Judi online atau judol kini kian mengakar di tengah masyarakat, menjangkau berbagai kelompok usia dan latar belakang sosial. Kemudahan akses melalui ponsel pintar dan media sosial membuat praktik ini berkembang pesat dan semakin sulit dibendung, seiring masifnya promosi yang menyasar ruang digital sehari-hari.Di balik itu semua, yang tidak banyak disadari adalah satu klik pada iklan judol tidak hanya berisiko menguras saldo rekening dan menimbulkan kerugian ekonomi, tetapi juga membuka celah pencurian data pribadi hingga kejahatan siber. Ancaman ini kerap luput dari perhatian publik yang masih memandang judi online sebatas persoalan finansial, tanpa menyadari risiko kejahatan digital yang jauh lebih luas. Scroll ke bawah untuk melanjutkan membaca Iklan Guru Besar Fakultas Ilmu Komputer Universitas Indonesia, Yudho Giri Sucahyo mengatakan, setiap serangan siber membutuhkan pintu mas",2025-12-22 08:17:44,
Rintis Sejahtera Gaungkan Ketahanan Siber lewat Pertemuan di Bali,https://www.tempo.co/info-tempo/rintis-sejahtera-gaungkan-ketahanan-siber-lewat-pertemuan-di-bali-2085312,Tempo,1 November 2025,"PerbesarPRIMA Executive Gathering 2025 yang digelar di The Mulia Resort, Nusa Dua, Bali, Kamis, 23 Oktober 2025. Dok. PRIMA ExecutiveMEMO BISNIS — Ancaman kejahatan siber yang terus terjadi mendorong PT Rintis Sejahtera (RINTIS), pengelola jaringan pembayaran PRIMA, menggelar pertemuan atau PRIMA Executive Gathering 2025 di The Mulia Resort, Nusa Dua, Bali, Kamis, pada 23 Oktober 2025.Melalui tema yang diusung, “Beyond Resilience: Accelerating Impact – Progressive Growth”, RINTIS menunjukkan tekadnya untuk memperkuat sistem keamanan siber lewat kolaborasi dan inovasi.“Resiliensi tidak bisa dibangun sendirian. Diperlukan kolaborasi antara pelaku industri dan regulator untuk memperkuat sistem keamanan pembayaran,” kata Direktur Utama RINTIS, Iwan Setiawan.Sebagai bagian dari infrastruktur sistem keuangan nasional, RINTIS menilai sistem pembayaran tak hanya berfungsi sebagai jembatan transaksi, melainkan juga urat nadi ekonomi digital. Karena itu, investasi dalam keamanan siber dan pening",2025-12-22 08:17:50,
"BNI Soroti Pentingnya Jaga Tiga Data Pribadi, Hindari Kejahatan Siber",https://www.tempo.co/info-tempo/bni-soroti-pentingnya-jaga-tiga-data-pribadi-hindari-kejahatan-siber-2053204,Tempo,31 Juli 2025,"PerbesarBNI mengimbau masyarakat menjaga data sensitif agar terhindar dari penipuan digital. Dok. BNIINFO BISNIS - PT Bank Negara Indonesia (Persero) Tbk atau BNI mengingatkan masyarakat agar lebih waspada terhadap perlindungan data pribadi, sebagai respons dari maraknya kejahatan siber. Corporate Secretary BNI, Okki Rushartomo menekankan pentingnya menjaga tiga jenis data sensitif, yakni nama lengkap, nomor WhatsApp aktif, dan informasi saldo rekening. Ketiga data tersebut kerap dijadikan modal awal bagi pelaku untuk melakukan aksi social engineering.“Nasabah perlu menjaga tiga jenis data yang kami sebut sebagai data sensitif, yakni nama lengkap, nomor WhatsApp yang aktif, dan informasi saldo. Ketiga data ini sangat rentan disalahgunakan oleh pihak tidak bertanggung jawab untuk menjalankan aksi kejahatan perbankan,” ujar Okki. Scroll ke bawah untuk melanjutkan membaca Iklan Pelaku umumnya membangun narasi yang seolah-olah resmi, seperti penawaran hadiah atau program promosi, untuk men",2025-12-22 08:17:54,
442 Kasus Penipuan Online Menyerang Sektor Telekomunikasi di Banten,https://example.com/news/0,CNN Indonesia,2024-10-15,Kejadian penipuan online yang menargetkan sektor telekomunikasi di Banten semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus penipuan online untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
BSSN Deteksi 447 Serangan Phishing ke Perbankan,https://example.com/news/1,Tempo.co,2024-03-20,Kejadian phishing yang menargetkan sektor perbankan di Sulawesi Selatan semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus phishing untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
Polisi Ungkap Penipuan Online yang Rugikan Pemerintahan Hingga Rp 383 Juta,https://example.com/news/2,CNN Indonesia,2024-08-11,Kejadian penipuan online yang menargetkan sektor pemerintahan di Bali semakin marak terjadi. Pihak berwenang mencatat adanya peningkatan kasus dalam beberapa bulan terakhir. Para pelaku menggunakan modus penipuan online untuk mengakses data sensitif korban. Kerugian material yang ditimbulkan cukup signifikan. Masyarakat diminta untuk lebih waspada terhadap berbagai bentuk kejahatan siber yang semakin canggih.,2025-12-22 08:20:04,generated_from_patterns
