date,attack_type,sector,province,incident_count,severity,source_type,source
2023-01-01,Phishing,Telekomunikasi,Jawa Timur,898,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-01,Ransomware,Transportasi,DKI Jakarta,522,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-01,Malware,Pemerintahan,DKI Jakarta,2707,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-01,DDoS,Teknologi Informasi,DKI Jakarta,528,Low,Statistics,BSSN/Kominfo Statistics
2023-01-01,Data Breach,Teknologi Informasi,Jawa Tengah,353,High,Statistics,BSSN/Kominfo Statistics
2023-01-01,Social Engineering,Teknologi Informasi,Kalimantan Timur,1029,High,Statistics,BSSN/Kominfo Statistics
2023-01-01,Scam/Fraud,Teknologi Informasi,Jawa Barat,3127,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-01,SQL Injection,Manufaktur,Lainnya,233,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-01,Brute Force,Pemerintahan,Banten,358,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-01,APT,Pemerintahan,Jawa Tengah,101,Low,Statistics,BSSN/Kominfo Statistics
2023-01-01,Cryptojacking,Perbankan & Keuangan,Sumatera Utara,328,High,Statistics,BSSN/Kominfo Statistics
2023-01-01,Zero-Day Exploit,Pemerintahan,Bali,46,Critical,Statistics,BSSN/Kominfo Statistics
2023-01-31,Phishing,Media,Jawa Timur,1487,Low,Statistics,BSSN/Kominfo Statistics
2023-01-31,Ransomware,Telekomunikasi,Sumatera Utara,540,Low,Statistics,BSSN/Kominfo Statistics
2023-01-31,Malware,Teknologi Informasi,Sulawesi Selatan,1259,High,Statistics,BSSN/Kominfo Statistics
2023-01-31,DDoS,Perbankan & Keuangan,Jawa Timur,244,Critical,Statistics,BSSN/Kominfo Statistics
2023-01-31,Data Breach,Pemerintahan,Jawa Timur,472,Low,Statistics,BSSN/Kominfo Statistics
2023-01-31,Social Engineering,Energi,Jawa Timur,987,Critical,Statistics,BSSN/Kominfo Statistics
2023-01-31,Scam/Fraud,Telekomunikasi,Jawa Barat,1685,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-31,SQL Injection,Pemerintahan,DKI Jakarta,233,Low,Statistics,BSSN/Kominfo Statistics
2023-01-31,Brute Force,Teknologi Informasi,Bali,694,High,Statistics,BSSN/Kominfo Statistics
2023-01-31,APT,Manufaktur,Jawa Timur,193,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-31,Cryptojacking,Kesehatan,Lainnya,417,Medium,Statistics,BSSN/Kominfo Statistics
2023-01-31,Zero-Day Exploit,Transportasi,Lainnya,91,Low,Statistics,BSSN/Kominfo Statistics
2023-03-02,Phishing,Perbankan & Keuangan,Jawa Timur,1965,Critical,Statistics,BSSN/Kominfo Statistics
2023-03-02,Ransomware,Kesehatan,Sumatera Utara,792,Low,Statistics,BSSN/Kominfo Statistics
2023-03-02,Malware,Teknologi Informasi,Banten,1716,Low,Statistics,BSSN/Kominfo Statistics
2023-03-02,DDoS,Manufaktur,Sulawesi Selatan,595,High,Statistics,BSSN/Kominfo Statistics
2023-03-02,Data Breach,Pendidikan,Kalimantan Timur,275,Critical,Statistics,BSSN/Kominfo Statistics
2023-03-02,Social Engineering,Pemerintahan,Jawa Timur,1585,Medium,Statistics,BSSN/Kominfo Statistics
2023-03-02,Scam/Fraud,Manufaktur,DKI Jakarta,2945,Medium,Statistics,BSSN/Kominfo Statistics
2023-03-02,SQL Injection,Pendidikan,DKI Jakarta,319,Medium,Statistics,BSSN/Kominfo Statistics
2023-03-02,Brute Force,Pendidikan,Lainnya,931,Medium,Statistics,BSSN/Kominfo Statistics
2023-03-02,APT,Perbankan & Keuangan,Bali,138,Medium,Statistics,BSSN/Kominfo Statistics
2023-03-02,Cryptojacking,Retail & E-commerce,DKI Jakarta,144,Low,Statistics,BSSN/Kominfo Statistics
2023-03-02,Zero-Day Exploit,Pemerintahan,Kalimantan Timur,27,Critical,Statistics,BSSN/Kominfo Statistics
2023-04-01,Phishing,Energi,DKI Jakarta,2015,Critical,Statistics,BSSN/Kominfo Statistics
2023-04-01,Ransomware,Media,Jawa Barat,925,Low,Statistics,BSSN/Kominfo Statistics
2023-04-01,Malware,Teknologi Informasi,DKI Jakarta,1155,Medium,Statistics,BSSN/Kominfo Statistics
2023-04-01,DDoS,Kesehatan,DKI Jakarta,186,Medium,Statistics,BSSN/Kominfo Statistics
2023-04-01,Data Breach,Pendidikan,DKI Jakarta,494,High,Statistics,BSSN/Kominfo Statistics
2023-04-01,Social Engineering,Pendidikan,Sulawesi Selatan,1440,Medium,Statistics,BSSN/Kominfo Statistics
2023-04-01,Scam/Fraud,Pemerintahan,DKI Jakarta,2646,Low,Statistics,BSSN/Kominfo Statistics
2023-04-01,SQL Injection,Transportasi,Jawa Tengah,336,Medium,Statistics,BSSN/Kominfo Statistics
2023-04-01,Brute Force,Transportasi,Jawa Tengah,866,Medium,Statistics,BSSN/Kominfo Statistics
2023-04-01,APT,Energi,DKI Jakarta,98,Critical,Statistics,BSSN/Kominfo Statistics
2023-04-01,Cryptojacking,Manufaktur,Jawa Barat,305,Medium,Statistics,BSSN/Kominfo Statistics
2023-04-01,Zero-Day Exploit,Teknologi Informasi,DKI Jakarta,94,Low,Statistics,BSSN/Kominfo Statistics
2023-05-01,Phishing,Pendidikan,DKI Jakarta,1935,High,Statistics,BSSN/Kominfo Statistics
2023-05-01,Ransomware,Telekomunikasi,Banten,1034,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-01,Malware,Energi,DKI Jakarta,1886,Low,Statistics,BSSN/Kominfo Statistics
2023-05-01,DDoS,Pendidikan,DKI Jakarta,243,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-01,Data Breach,Pemerintahan,Lainnya,579,Low,Statistics,BSSN/Kominfo Statistics
2023-05-01,Social Engineering,Energi,Lainnya,1564,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-01,Scam/Fraud,Perbankan & Keuangan,DKI Jakarta,2573,Critical,Statistics,BSSN/Kominfo Statistics
2023-05-01,SQL Injection,Teknologi Informasi,Bali,229,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-01,Brute Force,Media,DKI Jakarta,467,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-01,APT,Pemerintahan,Jawa Tengah,56,Critical,Statistics,BSSN/Kominfo Statistics
2023-05-01,Cryptojacking,Kesehatan,Bali,425,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-01,Zero-Day Exploit,Energi,Sumatera Utara,74,Low,Statistics,BSSN/Kominfo Statistics
2023-05-31,Phishing,Kesehatan,DKI Jakarta,2436,Low,Statistics,BSSN/Kominfo Statistics
2023-05-31,Ransomware,Energi,Jawa Tengah,1148,Medium,Statistics,BSSN/Kominfo Statistics
2023-05-31,Malware,Kesehatan,DKI Jakarta,1742,Medium,Statistics,BSSN/Kominfo Statistics
