attack_type,degree_centrality,betweenness_centrality,closeness_centrality,degree,community
APT,1.0,0.0,0.5217391304347826,12,1
Cryptojacking,1.0,0.0,0.5217391304347826,12,1
Scam,1.0,1.0,1.0,12,1
Zero-Day Exploit,1.0,0.0,0.5217391304347826,12,1
Brute Force,1.0,0.0,0.5217391304347826,12,1
DDoS,1.0,0.0,0.5217391304347826,12,1
Data Breach,1.0,0.0,0.5217391304347826,12,1
SQL Injection,1.0,0.0,0.5217391304347826,12,1
Scam/Fraud,1.0,0.0,0.5217391304347826,12,1
Social Engineering,1.0,0.0,0.5217391304347826,12,1
Malware,1.0,0.0,0.5217391304347826,12,1
Phishing,1.0,0.0,0.5217391304347826,12,1
Ransomware,1.0,0.0,0.5217391304347826,12,1
